id,stn
1,25105
2,170220
3,170240
4,170260
5,170300
6,170310
7,170340
8,170380
9,170420
10,170500
11,170560
12,170575
13,170600
14,170660
15,170670
16,170671
17,170672
18,170673
19,170674
20,170700
21,170820
22,170840
23,170860
24,170880
25,170900
26,170920
27,170960
28,170980
29,171100
30,171120
31,171150
32,171160
33,171200
34,171240
35,171270
36,171280
37,171290
38,171295
39,171350
40,171400
41,171500
42,171550
43,171600
44,171700
45,171750
46,171800
47,171840
48,171880
49,171890
50,171900
51,171905
52,171950
53,171990
54,172000
55,172005
56,172020
57,172050
58,172100
59,172180
60,172190
61,172340
62,172370
63,172400
64,172410
65,172440
66,172480
67,172500
68,172600
69,172700
70,172720
71,172734
72,172800
73,172900
74,172920
75,172950
76,173000
77,173100
78,173200
79,173300
80,173500
81,173520
82,173700
83,173750
84,286790
85,287660
86,287850
87,288670
88,288770
89,288790
90,289520
91,289570
92,289780
93,289840
94,298070
95,343980
96,345810
97,346910
98,347980
99,350420
100,350530
101,350670
102,350780
103,350850
104,351080
105,351730
106,351880
107,351910
108,352170
109,352290
110,353020
111,353210
112,353450
113,353610
114,353630
115,353760
116,353860
117,353940
118,353946
119,354060
120,354160
121,354260
122,354590
123,354970
124,355320
125,355420
126,355490
127,355760
128,355820
129,356050
130,356330
131,356710
132,356990
133,357000
134,357390
135,357460
136,357560
137,357910
138,357960
139,358490
140,358840
141,359250
142,359530
143,359690
144,359970
145,360010
146,360030
147,361520
148,361770
149,361860
150,362080
151,363350
152,363970
153,364280
154,364390
155,364420
156,365350
157,366220
158,366390
159,367440
160,367780
161,368215
162,368590
163,368700
164,369820
165,372600
166,373950
167,374320
168,375450
169,375490
170,375530
171,375750
172,376820
173,377090
174,377880
175,377890
176,378630
177,378635
178,378640
179,379070
180,379850
181,380010
182,380190
183,380490
184,380620
185,380810
186,380910
187,381110
188,381410
189,381411
190,381412
191,381413
192,381415
193,381417
194,381490
195,381780
196,381960
197,381980
198,382200
199,382320
200,382640
201,383280
202,383340
203,383410
204,383430
205,383450
206,383530
207,383531
208,383880
209,383920
210,383960
211,384030
212,384031
213,384032
214,384130
215,384230
216,384390
217,384570
218,384573
219,385070
220,385450
221,385830
222,385990
223,386090
224,386110
225,386150
226,386180
227,386470
228,386560
229,386830
230,386870
231,386960
232,387130
233,387500
234,387630
235,387740
236,387990
237,388060
238,388120
239,388360
240,388800
241,388860
242,388950
243,389110
244,389150
245,389270
246,389740
247,389870
248,400010
249,400070
250,400220
251,400250
252,400300
253,400450
254,400660
255,400800
256,400830
257,400950
258,401000
259,401010
260,401030
261,401540
262,401550
263,401650
264,401760
265,401761
266,401762
267,401770
268,401800
269,401910
270,401980
271,401990
272,402500
273,402550
274,402600
275,402650
276,402700
277,402720
278,403100
279,403400
280,403560
281,403570
282,403584
283,403600
284,403610
285,403620
286,403720
287,403730
288,403750
289,403770
290,403940
291,404000
292,404050
293,404150
294,404160
295,404170
296,404200
297,404270
298,404280
299,404300
300,404370
301,404380
302,404390
303,404450
304,404480
305,404490
306,404520
307,404770
308,404800
309,404950
310,404980
311,405520
312,405640
313,405680
314,405690
315,405700
316,405720
317,405750
318,405760
319,405820
320,405860
321,405880
322,405920
323,406080
324,406210
325,406370
326,406420
327,406480
328,406500
329,406650
330,406720
331,406760
332,406890
333,407060
334,407090
335,407120
336,407180
337,407190
338,407290
339,407300
340,407310
341,407320
342,407340
343,407360
344,407390
345,407430
346,407450
347,407470
348,407540
349,407570
350,407620
351,407660
352,407720
353,407780
354,407802
355,408000
356,408090
357,408110
358,408190
359,408210
360,408230
361,408310
362,408410
363,408480
364,408560
365,408580
366,408590
367,408750
368,408790
369,409480
370,410240
371,410300
372,410360
373,410550
374,410620
375,410840
376,411120
377,411140
378,411280
379,411400
380,411500
381,411700
382,411840
383,411940
384,411960
385,411980
386,412160
387,412170
388,412180
389,412410
390,412460
391,412540
392,412560
393,412880
394,413140
395,413160
396,414040
397,415300
398,415710
399,416410
400,417490
401,417560
402,417800
403,418580
404,418620
405,419170
406,419410
407,420710
408,421110
409,421310
410,421650
411,421810
412,421820
413,422600
414,423280
415,423390
416,423480
417,423690
418,423790
419,424520
420,424750
421,425590
422,425910
423,426340
424,426470
425,426670
426,426750
427,427010
428,427370
429,427540
430,428090
431,428400
432,428670
433,428740
434,428950
435,429090
436,429210
437,429340
438,429710
439,430030
440,430140
441,430630
442,431100
443,431170
444,431280
445,431500
446,431850
447,431890
448,431920
449,431980
450,432010
451,432130
452,432260
453,432330
454,432370
455,432450
456,432790
457,432840
458,432950
459,432960
460,433140
461,433210
462,433290
463,433330
464,433440
